ACCtrinom,SYNtri,grp,isTrinomial,notes,newTaxa,origFullText
Jungermannia_exsertifolia_cordifolia,Jungermannia_pendletonii,hep,1,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,Solenostoma_cordfolia,hep,1,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,Solenostoma_cordifolia,hep,1,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,Solenostoma_cordifolium,hep,1,NA,NA,NA
Jungermannia_hyalina,,hep,0,NA,NA,NA
Jungermannia_leiantha,,hep,0,NA,NA,NA
Jungermannia_polaris,,hep,0,NA,NA,NA
Jungermannia_polaris,Jungermannia_pumila,hep,0,NA,NA,NA
Jungermannia_polaris,Jungermannia_pumila,hep,0,NA,NA,NA
Jungermannia_polaris,Jungermannia_schiffneri,hep,0,NA,NA,NA
Jungermannia_pumila,,hep,0,NA,NA,NA
Jungermannia_pumila,Solenostoma_pumilum,hep,0,NA,NA,NA
Jungermannia_rubra,Solenostoma_rubrum,hep,0,NA,NA,NA
Jungermannia_sphaerocarpa,,hep,0,NA,NA,NA
Kurzia_sylvatica,,hep,0,NA,NA,NA
Kurzia_sylvatica,Lepidozia_sylvatica,hep,0,NA,NA,NA
Lepidozia_reptans,,hep,0,NA,NA,NA
Lepidozia_reptans,Lepidoza_reptans,hep,0,NA,NA,NA
Lophocolea_bidentata,,hep,0,NA,NA,NA
Lophocolea_heterophylla,,hep,0,NA,NA,NA
Lophocolea_heterophylla,Heteroscyphus_heterophyllus,hep,0,NA,NA,NA
Lophocolea_heterophylla,Lophocolea_heterophyllum,hep,0,NA,NA,NA
Lophocolea_heterophylla,Lophocolea_hterophylla,hep,0,NA,NA,NA
Lophocolea_heterophylla,Lophocolea_macounii,hep,0,NA,NA,NA
Lophozia_bantriensis,,hep,0,NA,NA,NA
Lophozia_collaris,,hep,0,NA,NA,NA
Lophozia_excisa,,hep,0,NA,NA,NA
Lophozia_gillmanii,,hep,0,NA,NA,NA
Lophozia_heterocolpos,,hep,0,NA,NA,NA
Lophozia_incisa_incisa,,hep,1,NA,NA,NA
Lophozia_incisa_opacifolia,,hep,1,NA,NA,NA
Lophozia_latifolia,,hep,0,NA,NA,NA
Lophozia_longiflora,,hep,0,NA,NA,NA
Lophozia_obtusa,,hep,0,NA,NA,NA
Lophozia_sudetica,,hep,0,NA,NA,NA
Lophozia_ventricosa,,hep,0,NA,NA,NA
Lophozia_ventricosa,Jungermannia_ventricosa,hep,0,NA,NA,NA
Lophozia_ventricosa,Lophozia_pophyloleuca,hep,0,NA,NA,NA
Lophozia_ventricosa,Lophozia_porphyroleuca,hep,0,NA,NA,NA
Lophozia_ventricosa,Lophozia_prophyroleuca,hep,0,NA,NA,NA
Lophozia_wenzelii,,hep,0,NA,NA,NA
Lophozia_wenzelii,Lophozia_wenzellii,hep,0,NA,NA,NA
Lunularia_cruciata,,hep,0,NA,NA,NA
Mannia_californica,,hep,0,NA,NA,NA
Mannia_californica,Grimaldia_california,hep,0,NA,NA,NA
Mannia_californica,Grimaldia_californica,hep,0,NA,NA,NA
Mannia_fragrans,,hep,0,NA,NA,NA
Mannia_fragrans,Grimaldia_barbifrons,hep,0,NA,NA,NA
Mannia_fragrans,Grimaldia_fragrans,hep,0,NA,NA,NA
Mannia_fragrans,Mannia_barbifrons,hep,0,NA,NA,NA
Marchantia_polymorpha,,hep,0,NA,NA,NA
Marsupella_bolanderi,,hep,0,NA,NA,NA
Marsupella_emarginata,,hep,0,NA,NA,NA
Marsupella_emarginata,Marsupella_condensata,hep,0,NA,NA,NA
Marsupella_emarginata,Marsupella_emarignata,hep,0,NA,NA,NA
Marsupella_sparsifolia,,hep,0,NA,NA,NA
Marsupella_sphacelata,,hep,0,NA,NA,NA
Marsupella_sphacelata,Marsupella_sphacellata,hep,0,NA,NA,NA
Marsupella_sphacelata,Marsupella_sullivanti,hep,0,NA,NA,NA
Marsupella_sphacelata,Marsupella_sullivantii,hep,0,NA,NA,NA
Marsupella_sprucei,,hep,0,NA,NA,NA
Metzgeria_conjugata,,hep,0,NA,NA,NA
Metzgeria_conjugata,Metzgeria_congulata,hep,0,NA,NA,NA
Metzgeria_violacea,,hep,0,NA,NA,NA
Mylia_anomala,,hep,0,NA,NA,NA
Mylia_anomala,Leiomylia_anomala,hep,0,NA,NA,NA
Mylia_anomala,Leioscyphus_anomalus,hep,0,NA,NA,NA
Mylia_anomala,Mylia_anomola,hep,0,NA,NA,NA
Nardia_geoscyphus,,hep,0,NA,NA,NA
